"Story","Title","Result","Date","Stability","Duration (s)"
"Google Translate","translate from english to spanish","PENDING","2021-11-16T22:16:34.88-05:00[America/Bogota]","0.0","0.31"
"Google Translate","translate from english to spanish","SUCCESS","2021-11-17T22:04:09.137-05:00[America/Bogota]","0.0","18.05"
